ph,Turbidity,Hardness,Potability
7.035455516000001,2.963135381,204.8904555,0
3.8891069555,4.500656275,129.4229205,0
8.099124189,3.05593375,224.2362594,0
8.316765884,4.628770537,214.3733941,0
9.092223456,4.075075425,181.1015092,0
5.584086638,2.559708228,188.3133238,0
10.22386216,2.672988737,248.0717353,0
8.635848719,4.401424715,203.3615226,0
7.035455516000001,3.595017181,118.9885791,0
10.258615435500001,4.370561937,227.2314692,0
7.360640106,3.662291783,165.5207973,0
7.974521649,4.011718108,218.6933005,0
7.119824384,3.445756223,156.7049933,0
7.035455516000001,4.413974183,150.1749234,0
7.496232208,4.777382337,205.3449822,0
6.347271761,4.376348291,186.7328807,0
7.0517858,4.268428858,211.0494061,0
9.181560007,4.503660796,273.8138067,0
8.975464348,2.43608559,276.39283378749997,0
7.371050302,2.560299148,214.4966105,0
7.035455516000001,4.133422644,227.4350484,0
6.660212026,3.749701241,168.2837469,0
7.035455516000001,5.459250956,215.9778587,0
3.902475686,4.528522696,196.9032467,0
5.400301781,4.82478639,140.7390623,0
6.514415093,5.200885077,198.7673513,0
3.8891069555,4.184396969,207.9262602,0
7.035455516000001,4.004871128,145.7681806,0
7.035455516000001,3.991564248,266.4210181,0
7.035455516000001,6.038184953,148.1530614,0
7.181448581,5.088859989,209.6256005,0
9.825489908,2.857472426,190.7566183,0
10.258615435500001,5.057310517,117.7912296,0
7.414148196,3.160624468,235.0445345,0
7.035455516000001,5.029166724,232.280452,0
5.115817064,3.902088768,191.952743,0
3.8891069555,3.464353035,183.9087223,0
5.618064406,2.896546941,276.39283378749997,0
7.035455516000001,2.907563915,143.4537313,0
9.267187531,4.324004646,198.6143947,0
7.035455516000001,3.510004045,233.8589957,0
5.331940479,4.434820258,194.8740654,0
7.145771545,5.182590704,238.6899285,0
9.920691059,4.69070723,202.817483,0
4.758439425,4.542801462,183.3494541,0
5.702925977,4.137739016,216.8504739,0
6.953864226,3.195710328,209.638293,0
10.258615435500001,3.999775382,173.3754984,0
7.035455516000001,4.405586,129.8905723,0
8.757257397,3.626135442,200.1914004,0
7.035455516000001,3.048057223,168.3884308,0
7.809631898,2.447444464,117.1251602875,0
6.652488091,3.742090426,145.0101719,0
9.147197055,3.794531591,211.7141418,0
10.258615435500001,3.96468635,181.8933656,0
7.484254838,4.781188177,260.0921726,0
8.520806573,3.94060453,238.3351125,0
4.999413811,4.460683932,190.2870501,0
7.035455516000001,4.405385706,157.8011936,0
7.035455516000001,4.08990769,155.0557268,0
3.906078355,3.902879712,233.402835,0
6.391353624,3.923749169,213.0178297,0
7.035455516000001,3.855602212,229.4856937,0
8.692092013,4.477960248,195.1437388,0
8.085759801,4.068688909,127.7396738,0
6.203977702,5.215689206,212.3066183,0
5.058108869,5.106655774,238.5693804,0
7.035455516000001,4.620793452,117.1251602875,0
7.035455516000001,3.439740042,211.200526,0
7.261550522,3.636364183,179.8897882,0
7.160467231,3.884891044,183.08931,0
5.704764776,4.157533407,117.1251602875,0
6.217273135,5.325833446,130.9444639,0
8.67993497,3.873470298,242.2286673,0
7.035455516000001,4.655916599,219.3009142,0
6.897322141,5.02278363,211.3601667,0
